edad,ingreso_anual,propiedad_vivienda,antiguedad_empleo,intencion_credito,grado_credito,monto_credito,tasa_interes,estado_credito,procentaje_de_ingreso,incumplimiento_historico,historial_crediticio
26,89028,alquiler,0,consolidar_deudas,A,30000,6.62,1,0.34,N,3
24,78000,alquiler,4,consolidar_deudas,D,30000,,1,0.38,Y,4
23,78000,alquiler,7,consolidar_deudas,F,30000,18.62,1,0.38,Y,3
23,92004,alquiler,6,personal,C,30000,15.23,1,0.33,Y,3
23,97000,alquiler,7,emprendimiento,B,30000,10.65,1,0.31,N,2
25,120000,alquiler,9,educacion,A,30000,7.9,0,0.25,N,4
26,280000,alquiler,4,personal,C,10000,15.96,0,0.04,Y,3
26,277104,alquiler,0,emprendimiento,B,20000,11.48,0,0.07,N,3
23,277000,propia,3,personal,A,35000,,0,0.13,N,4
25,128000,alquiler,9,personal,A,30000,7.29,0,0.23,N,4
24,12000,propia,2,emprendimiento,E,1750,,0,0.15,Y,3
21,131000,alquiler,0,emprendimiento,A,30000,5.99,0,0.23,N,4
22,275000,propia,6,emprendimiento,B,12000,11.58,0,0.04,N,2
26,263000,hipoteca,0,educacion,B,10000,,1,0.04,N,4
25,221850,hipoteca,9,medico,D,25000,15.7,1,0.1,N,2
22,70000,alquiler,6,educacion,D,29100,15.99,1,0.42,N,3
22,12000,hipoteca,7,educacion,D,1500,14.84,0,0.13,Y,3
26,260000,propia,10,mejora_hogar,B,28000,10.99,0,0.11,N,3
25,259000,hipoteca,9,mejora_hogar,D,20000,14.42,0,0.08,Y,2
24,255000,hipoteca,9,educacion,A,9600,6.99,0,0.04,N,2
25,250000,alquiler,2,medico,C,25000,13.49,0,0.1,N,4
25,12000,propia,0,medico,C,3000,,1,0.25,N,3
22,56950,alquiler,6,medico,A,28000,,1,0.49,N,2
21,12000,propia,6,educacion,C,3000,13.61,1,0.25,Y,3
23,65000,alquiler,2,educacion,A,28000,7.9,1,0.43,N,2
26,85000,alquiler,2,emprendimiento,A,28000,7.49,1,0.33,N,3
26,12000,propia,2,educacion,A,6100,7.51,1,0.51,N,3
22,88000,alquiler,6,emprendimiento,B,28000,9.91,1,0.32,N,3
21,12000,propia,0,personal,C,4200,13.48,1,0.35,Y,4
22,12000,propia,6,consolidar_deudas,A,4750,7.14,1,0.4,N,2
24,83004,alquiler,0,emprendimiento,D,28000,15.99,1,0.34,Y,4
24,250000,alquiler,2,educacion,C,18000,12.98,0,0.07,Y,3
144,250000,alquiler,4,emprendimiento,C,4800,13.57,0,0.02,N,3
25,100000,alquiler,5,consolidar_deudas,B,28000,12.69,0,0.28,N,3
26,110000,alquiler,10,educacion,A,28000,8.9,0,0.25,N,2
26,12000,propia,0,consolidar_deudas,A,2700,,1,0.23,N,4
22,108000,alquiler,6,educacion,B,28000,,1,0.26,N,4
23,151200,alquiler,7,consolidar_deudas,B,28000,11.11,0,0.19,N,2
24,69000,alquiler,2,mejora_hogar,A,27600,,1,0.4,N,2
21,12000,hipoteca,5,consolidar_deudas,E,3250,15.68,1,0.27,Y,3
22,70000,alquiler,4,educacion,C,27500,13.06,1,0.39,Y,3
22,240000,propia,6,personal,B,25000,,0,0.1,N,2
26,73200,alquiler,5,emprendimiento,D,27050,15.62,1,0.37,Y,2
24,83000,alquiler,5,personal,C,27000,13.49,1,0.33,Y,2
24,73399,alquiler,0,emprendimiento,D,27000,,1,0.37,N,3
23,62500,alquiler,7,medico,B,26000,11.71,1,0.42,N,2
23,120000,alquiler,1,educacion,B,25600,12.69,0,0.21,N,3
24,12360,propia,2,medico,C,1600,13.57,0,0.13,N,3
22,60000,alquiler,0,emprendimiento,B,25475,10.99,1,0.42,N,3
25,234000,hipoteca,3,medico,C,20000,14.27,0,0.09,Y,4
24,234000,propia,8,mejora_hogar,B,20000,8.88,0,0.09,N,4
26,234000,hipoteca,10,mejora_hogar,B,21600,12.18,0,0.09,N,3
25,221004,hipoteca,6,consolidar_deudas,D,11900,14.42,1,0.05,Y,3
26,232500,hipoteca,0,medico,C,25000,14.17,0,0.11,Y,2
25,230000,hipoteca,5,medico,C,35000,13.99,0,0.15,N,4
23,83000,alquiler,7,educacion,B,25300,10.99,1,0.3,N,3
22,12600,hipoteca,,personal,A,2000,5.42,1,0.16,N,4
25,12600,propia,3,personal,C,1750,13.61,0,0.14,N,3
21,42500,alquiler,3,educacion,C,25000,12.73,1,0.59,Y,3
24,41000,alquiler,2,mejora_hogar,D,25000,,1,0.61,N,3
25,12816,propia,0,consolidar_deudas,C,3000,12.87,1,0.23,Y,4
24,12960,hipoteca,1,mejora_hogar,B,3650,9.91,1,0.28,N,3
26,226000,hipoteca,4,mejora_hogar,B,20000,11.49,0,0.09,N,4
25,225000,hipoteca,0,mejora_hogar,E,30000,19.91,0,0.13,Y,2
26,213000,hipoteca,6,educacion,B,35000,10.65,1,0.16,N,2
24,225000,alquiler,0,medico,B,6000,,0,0.03,N,4
24,12960,hipoteca,0,consolidar_deudas,B,4500,11.83,1,0.35,N,4
23,12996,propia,0,consolidar_deudas,C,2400,13.49,1,0.18,Y,2
22,42000,alquiler,6,medico,D,25000,14.59,1,0.6,Y,2
26,48000,alquiler,2,educacion,B,25000,9.64,1,0.52,N,4
25,12996,propia,1,medico,D,3600,14.59,1,0.28,N,3
22,12996,propia,1,educacion,B,4750,,1,0.37,N,3
25,42360,alquiler,1,educacion,E,25000,16.35,1,0.59,Y,3
21,49000,alquiler,4,educacion,B,25000,10.99,1,0.51,N,2
25,225000,hipoteca,0,emprendimiento,F,25000,18.67,0,0.11,N,2
26,225000,alquiler,1,educacion,A,3000,9.32,0,0.01,N,4
23,225000,alquiler,8,consolidar_deudas,A,7500,8.63,0,0.03,N,2
26,225000,hipoteca,2,emprendimiento,B,25000,10.08,0,0.11,N,2
22,49464,alquiler,5,personal,B,25000,11.83,1,0.51,N,3
23,50000,alquiler,1,consolidar_deudas,A,25000,7.9,1,0.5,N,3
25,50000,alquiler,4,mejora_hogar,A,25000,5.99,1,0.5,N,2
24,44000,alquiler,2,consolidar_deudas,D,25000,15.33,1,0.57,N,2
23,50000,alquiler,1,emprendimiento,B,25000,11.83,1,0.5,N,4
22,50004,alquiler,0,emprendimiento,B,25000,10.36,1,0.5,N,2
22,50004,alquiler,3,emprendimiento,C,25000,12.23,1,0.5,N,3
22,52000,alquiler,2,educacion,B,25000,11.11,1,0.48,N,4
23,13200,propia,3,consolidar_deudas,A,4950,7.9,1,0.38,N,4
24,220000,hipoteca,1,educacion,B,25000,11.58,0,0.11,N,2
23,216000,hipoteca,5,consolidar_deudas,A,21000,8.9,0,0.1,N,3
25,216000,hipoteca,2,educacion,D,25000,16.07,0,0.12,N,3
26,216000,hipoteca,10,educacion,C,20000,14.22,0,0.09,Y,2
23,215000,hipoteca,7,medico,C,35000,14.79,0,0.16,Y,3
26,215000,hipoteca,11,educacion,A,12000,7.88,0,0.06,N,2
23,52000,alquiler,1,personal,C,25000,13.22,1,0.48,N,2
26,46000,alquiler,2,consolidar_deudas,D,25000,11.86,1,0.54,N,4
22,53000,alquiler,5,educacion,C,25000,13.43,1,0.47,Y,4
26,47000,alquiler,0,mejora_hogar,D,25000,15.28,1,0.53,Y,2
23,47000,alquiler,1,emprendimiento,E,25000,17.93,1,0.53,N,2
23,13200,hipoteca,2,educacion,B,1400,9.25,0,0.11,N,4
21,13200,propia,0,emprendimiento,C,4500,12.98,1,0.34,N,4
22,210000,hipoteca,6,emprendimiento,B,16000,10.62,0,0.08,N,4
26,210000,propia,10,personal,B,22000,11.83,0,0.1,N,4
26,48000,alquiler,5,emprendimiento,F,25000,18.43,1,0.52,N,2
22,54996,alquiler,6,educacion,B,25000,,1,0.45,N,4
24,55000,alquiler,4,mejora_hogar,D,25000,,1,0.45,Y,4
23,55000,alquiler,4,educacion,B,25000,11.36,1,0.45,N,3
23,55000,alquiler,4,educacion,D,25000,15.65,1,0.45,Y,3
24,55164,alquiler,8,personal,C,25000,13.22,1,0.45,Y,4
26,56000,alquiler,4,consolidar_deudas,C,25000,12.87,1,0.45,N,2
24,203500,propia,8,medico,C,20000,13.04,0,0.1,N,3
23,190000,hipoteca,5,educacion,F,22000,17.58,1,0.12,Y,3
23,13920,propia,2,personal,E,7750,17.04,1,0.56,N,4
24,60000,alquiler,0,personal,B,25000,10.99,1,0.42,N,3
24,60000,alquiler,2,personal,B,25000,11.11,1,0.42,N,3
26,54000,alquiler,7,consolidar_deudas,D,25000,14.83,1,0.46,Y,2
23,14000,propia,2,consolidar_deudas,D,4000,,1,0.29,N,3
24,200000,alquiler,8,medico,B,12000,12.69,0,0.06,N,2
24,200000,hipoteca,8,mejora_hogar,C,12000,13.49,0,0.06,N,2
21,200000,hipoteca,5,educacion,C,16000,14.65,0,0.08,N,4
25,54000,alquiler,3,mejora_hogar,E,25000,16.82,1,0.46,N,4
23,60000,alquiler,3,personal,C,25000,12.73,1,0.42,N,3
23,60000,alquiler,7,personal,B,25000,10.25,1,0.42,N,4
21,60000,alquiler,6,educacion,B,25000,10.99,1,0.42,N,4
25,61959,alquiler,9,medico,C,25000,12.73,1,0.4,N,2
22,56400,alquiler,2,mejora_hogar,D,25000,14.96,1,0.44,Y,3
23,200000,hipoteca,7,educacion,A,28000,,0,0.14,N,2
21,200000,hipoteca,2,consolidar_deudas,C,25000,13.99,0,0.13,N,2
24,200000,hipoteca,3,emprendimiento,A,24000,7.49,0,0.12,N,4
26,200000,hipoteca,4,educacion,C,15000,14.79,0,0.07,N,3
25,200000,hipoteca,2,consolidar_deudas,B,15500,11.99,0,0.08,N,2
24,200000,alquiler,8,educacion,A,10000,8.49,0,0.05,N,4
24,66000,alquiler,3,educacion,B,25000,9.91,1,0.38,N,2
22,66000,alquiler,6,educacion,C,25000,13.06,1,0.38,Y,3
22,200000,hipoteca,6,consolidar_deudas,A,9000,6.17,0,0.04,N,4
144,200000,hipoteca,4,educacion,B,6000,11.86,0,0.03,N,2
25,200000,alquiler,5,educacion,D,18000,16.32,0,0.09,N,3
25,200000,hipoteca,2,emprendimiento,B,12000,10.38,0,0.06,N,2
25,200000,hipoteca,9,personal,C,23050,14.35,0,0.12,N,3
24,200000,hipoteca,8,consolidar_deudas,B,20000,,0,0.1,N,3
24,60000,alquiler,2,consolidar_deudas,E,25000,,1,0.42,Y,2
21,14400,propia,0,mejora_hogar,B,3000,,1,0.21,N,4
26,66996,alquiler,10,personal,D,25000,15.21,1,0.37,Y,2
23,67000,alquiler,3,educacion,A,25000,7.9,1,0.37,N,4
24,67000,alquiler,2,emprendimiento,B,25000,10.99,1,0.37,N,3
24,68000,alquiler,5,personal,D,25000,14.09,1,0.37,Y,3
25,69000,alquiler,9,personal,D,25000,17.49,1,0.36,N,2
25,200000,hipoteca,0,educacion,B,12000,11.48,0,0.06,N,3
26,188000,hipoteca,10,emprendimiento,E,20000,17.74,1,0.11,N,2
26,200000,hipoteca,4,personal,C,3000,13.92,0,0.01,N,3
25,69996,alquiler,9,educacion,D,25000,15.21,1,0.36,N,3
22,14400,propia,2,medico,B,4000,10.99,1,0.28,N,3
24,70000,alquiler,3,educacion,B,25000,11.86,1,0.36,N,4
24,14400,propia,5,personal,A,6000,7.49,1,0.42,N,3
24,56100,alquiler,7,medico,D,25000,16.49,1,0.38,N,4
25,66000,alquiler,9,emprendimiento,D,25000,15.33,1,0.38,Y,2
26,66000,alquiler,3,mejora_hogar,B,25000,11.58,1,0.38,N,4
25,14400,propia,7,educacion,A,5375,5.79,1,0.37,N,2
25,72612,alquiler,9,medico,C,25000,13.11,1,0.34,N,2
23,74000,alquiler,3,medico,B,25000,10.36,1,0.34,N,3
25,75000,alquiler,9,consolidar_deudas,B,25000,10.36,1,0.33,N,2
24,192000,alquiler,0,medico,C,22000,,0,0.11,Y,2
21,192000,hipoteca,123,emprendimiento,A,20000,6.54,0,0.1,N,4
25,191000,hipoteca,1,medico,B,10000,12.53,0,0.05,N,4
26,190300,hipoteca,5,personal,A,15000,,0,0.08,N,3
22,190000,hipoteca,3,emprendimiento,C,10000,,0,0.05,N,3
24,75000,alquiler,4,educacion,B,25000,10.25,1,0.33,N,4
22,71000,alquiler,1,educacion,D,25000,15.95,1,0.35,Y,4
26,190000,hipoteca,3,emprendimiento,B,20000,12.18,0,0.11,N,4
23,189996,propia,0,personal,B,24000,11.83,0,0.13,N,3
23,78000,alquiler,7,consolidar_deudas,C,25000,,1,0.32,Y,2
23,78000,alquiler,1,emprendimiento,B,25000,10.62,1,0.32,N,3
23,78504,alquiler,7,emprendimiento,B,25000,10.74,1,0.32,N,3
25,186000,propia,9,emprendimiento,B,10000,10.25,0,0.05,N,4
24,185000,hipoteca,,educacion,B,35000,12.42,0,0.19,N,2
25,185000,alquiler,6,emprendimiento,C,15000,15.27,0,0.08,N,2
24,62050,alquiler,8,medico,D,25000,15.33,1,0.34,Y,2
23,79416,alquiler,7,emprendimiento,D,25000,15.21,1,0.31,Y,2
21,14400,propia,4,emprendimiento,C,6250,14.72,1,0.43,N,2
24,79631,alquiler,8,personal,D,25000,15.7,1,0.31,Y,2
24,79632,alquiler,0,educacion,C,25000,13.35,1,0.31,N,4
21,14400,hipoteca,0,medico,C,1500,,0,0.1,N,4
24,80000,alquiler,6,educacion,A,25000,6.62,1,0.31,N,2
26,80000,alquiler,5,consolidar_deudas,C,25000,13.61,1,0.31,N,4
22,185000,alquiler,4,medico,B,25000,11.36,0,0.14,N,2
26,185000,propia,10,personal,A,5000,7.68,0,0.03,N,2
24,184992,alquiler,7,mejora_hogar,D,22000,14.46,0,0.12,Y,4
23,184000,propia,5,educacion,B,2500,11.83,0,0.01,N,2
24,172000,hipoteca,6,consolidar_deudas,C,20000,13.47,1,0.12,Y,4
24,183000,hipoteca,2,medico,B,20000,11.49,0,0.11,N,3
22,183000,hipoteca,3,educacion,A,1000,,0,0.01,N,2
25,182952,hipoteca,9,personal,A,15000,6.03,0,0.08,N,3
23,74004,alquiler,7,consolidar_deudas,E,25000,16.35,1,0.34,N,4
26,74004,alquiler,10,consolidar_deudas,D,25000,,1,0.34,Y,4
25,81000,alquiler,5,consolidar_deudas,A,25000,7.29,1,0.31,N,3
23,81600,alquiler,1,medico,B,25000,11.36,1,0.31,N,3
24,82000,alquiler,8,emprendimiento,B,25000,10.25,0,0.3,N,2
24,83000,alquiler,5,educacion,B,25000,11.12,0,0.3,N,3
24,83000,alquiler,5,personal,D,25000,12.92,0,0.3,Y,3
24,180000,alquiler,8,educacion,E,18000,18.64,0,0.1,Y,4
23,180000,hipoteca,8,personal,A,28000,7.51,0,0.16,N,3
23,14400,propia,2,mejora_hogar,E,4000,16.7,1,0.28,N,2
22,14400,propia,0,personal,B,2100,11.14,0,0.15,N,4
22,84500,alquiler,6,personal,F,25000,18.3,0,0.3,N,4
24,85000,alquiler,5,medico,B,25000,10.62,0,0.29,N,4
24,180000,hipoteca,7,emprendimiento,B,14000,11.99,0,0.08,N,2
26,180000,hipoteca,2,emprendimiento,B,12000,9.63,0,0.07,N,4
25,142800,hipoteca,9,medico,F,10000,18.25,1,0.06,N,4
23,14664,hipoteca,0,consolidar_deudas,C,6000,,1,0.41,N,4
24,87000,alquiler,8,mejora_hogar,D,25000,14.84,0,0.29,N,3
24,75000,alquiler,0,emprendimiento,E,25000,14.7,1,0.33,Y,3
23,76000,alquiler,7,consolidar_deudas,D,25000,16.02,1,0.33,N,4
23,66215,alquiler,1,medico,D,25000,15.37,1,0.32,Y,2
25,90000,alquiler,9,medico,B,25000,10.99,0,0.28,N,4
21,15000,propia,0,mejora_hogar,A,6200,7.9,1,0.41,N,2
26,180000,propia,2,personal,B,25000,10.99,0,0.14,N,4
24,180000,propia,8,educacion,B,21000,11.48,0,0.12,N,3
25,180000,propia,9,medico,C,20000,14.26,0,0.11,Y,4
26,180000,propia,0,mejora_hogar,A,10000,8,0,0.06,N,4
25,180000,hipoteca,3,emprendimiento,B,9950,11.26,0,0.06,N,2
23,15000,propia,7,medico,B,4475,,1,0.3,N,4
23,78000,alquiler,2,emprendimiento,D,25000,16.32,1,0.32,Y,3
25,66300,alquiler,3,medico,E,25000,17.93,1,0.32,Y,4
23,90000,alquiler,0,consolidar_deudas,B,25000,11.36,0,0.28,N,3
24,79000,alquiler,9,consolidar_deudas,D,25000,14.96,1,0.32,Y,4
24,91800,alquiler,4,personal,C,25000,13.43,0,0.27,Y,3
25,92000,alquiler,6,mejora_hogar,B,25000,12.69,0,0.27,N,3
24,92000,alquiler,1,emprendimiento,C,25000,12.73,0,0.27,Y,4
23,93600,alquiler,3,emprendimiento,D,25000,15.21,0,0.27,N,4
23,15000,hipoteca,1,medico,C,1750,12.68,0,0.12,Y,3
23,70550,alquiler,3,medico,F,25000,19.04,1,0.3,Y,4
25,83800,alquiler,2,consolidar_deudas,D,25000,15.95,1,0.3,Y,3
26,175000,hipoteca,3,emprendimiento,A,2600,8.9,0,0.01,N,4
25,175000,hipoteca,10,mejora_hogar,A,8000,7.9,0,0.05,N,2
22,175000,hipoteca,6,educacion,B,18000,,0,0.1,N,2
23,175000,hipoteca,8,personal,B,21000,11.99,0,0.12,N,3
23,15000,propia,4,consolidar_deudas,C,4000,13.98,1,0.27,N,4
23,15000,propia,4,emprendimiento,B,4600,10.99,1,0.31,N,2
22,88000,alquiler,6,consolidar_deudas,D,25000,15.58,1,0.28,Y,2
25,74800,alquiler,2,medico,B,25000,10.99,1,0.28,N,2
25,88000,alquiler,0,emprendimiento,D,25000,14.96,1,0.28,N,4
25,15000,propia,2,mejora_hogar,D,1750,15.31,0,0.12,Y,4
26,88000,alquiler,2,emprendimiento,D,25000,15.65,1,0.28,N,3
25,100000,alquiler,1,emprendimiento,B,25000,9.33,0,0.25,N,4
23,15000,hipoteca,0,personal,C,3600,13.47,1,0.24,N,4
24,102400,alquiler,8,personal,B,25000,10.36,0,0.24,N,3
24,92000,alquiler,1,mejora_hogar,E,25000,16.77,1,0.27,Y,4
23,93000,alquiler,0,consolidar_deudas,D,25000,14.59,1,0.27,Y,2
22,175000,alquiler,6,emprendimiento,C,3500,11.91,0,0.02,Y,2
23,175000,hipoteca,3,educacion,A,7200,8.38,0,0.04,N,3
25,174708,alquiler,9,emprendimiento,B,9000,10.59,0,0.05,N,3
25,174000,hipoteca,2,consolidar_deudas,C,8800,14.27,0,0.05,N,3
26,174000,alquiler,8,consolidar_deudas,B,12000,12.53,0,0.07,N,4
25,162000,hipoteca,5,consolidar_deudas,E,25000,16,1,0.15,Y,3
26,173467,hipoteca,10,emprendimiento,B,10000,11.71,0,0.06,N,4
21,15000,propia,0,mejora_hogar,C,3175,11.54,1,0.21,Y,3
25,96000,alquiler,2,mejora_hogar,E,25000,15.68,1,0.26,Y,4
21,15120,hipoteca,0,educacion,B,1500,10.59,0,0.1,N,2
24,97908,alquiler,8,mejora_hogar,D,25000,12.61,1,0.26,Y,2
26,110000,alquiler,3,personal,C,25000,,0,0.23,Y,2
23,15204,hipoteca,7,personal,A,2800,8.49,1,0.18,N,3
25,159600,alquiler,0,personal,D,30000,17.27,1,0.19,Y,4
24,171500,alquiler,6,consolidar_deudas,A,18000,8.9,0,0.1,N,4
25,170004,hipoteca,3,medico,B,10000,11.11,0,0.06,N,4
24,158004,alquiler,0,mejora_hogar,D,25000,14.59,1,0.16,Y,2
26,170000,alquiler,0,emprendimiento,B,13000,12.42,0,0.08,N,3
24,83300,alquiler,0,medico,D,25000,,1,0.26,N,2
24,110000,alquiler,7,mejora_hogar,D,25000,15.7,0,0.23,Y,2
22,15360,propia,7,mejora_hogar,B,2500,12.53,1,0.16,N,3
25,134300,alquiler,3,medico,D,5000,16.49,1,0.03,N,2
25,170000,hipoteca,2,educacion,A,20000,7.49,0,0.12,N,2
22,100580,alquiler,6,consolidar_deudas,D,25000,14.96,1,0.25,Y,2
25,113000,alquiler,7,medico,C,25000,12.73,0,0.22,Y,4
24,120000,alquiler,8,educacion,B,25000,10.65,0,0.21,N,4
25,120000,alquiler,6,medico,B,25000,10.74,0,0.21,N,2
23,120000,alquiler,7,educacion,B,25000,9.99,0,0.21,N,2
24,91800,alquiler,5,medico,D,25000,15.33,1,0.23,Y,2
21,15600,propia,5,emprendimiento,A,1000,7.29,0,0.06,N,4
26,108000,alquiler,2,personal,D,25000,15.05,1,0.23,N,3
26,129996,alquiler,6,personal,B,25000,10.75,0,0.19,N,3
23,130000,alquiler,4,educacion,D,25000,16.02,0,0.19,Y,2
23,130000,alquiler,7,emprendimiento,B,25000,11.49,0,0.19,N,4
25,170000,propia,4,educacion,B,20000,12.53,0,0.12,N,4
26,170000,hipoteca,0,emprendimiento,C,12000,13.57,0,0.07,Y,2
22,169000,alquiler,1,personal,B,14000,11.14,0,0.08,N,3
26,168750,alquiler,10,medico,C,24250,12.87,0,0.14,Y,3
23,168600,alquiler,3,educacion,B,20000,11.58,0,0.12,N,3
24,168288,alquiler,5,mejora_hogar,B,1800,11.12,0,0.01,N,3
25,168000,hipoteca,2,personal,B,35000,10.65,0,0.21,N,2
24,133300,alquiler,6,consolidar_deudas,B,25000,10.37,0,0.19,N,2
24,15600,propia,5,mejora_hogar,A,3300,6.39,1,0.21,N,4
24,134000,alquiler,8,personal,D,25000,16.07,0,0.19,Y,3
25,134000,alquiler,7,medico,B,25000,10.62,0,0.19,N,2
25,15600,propia,0,emprendimiento,F,3200,18.09,1,0.21,N,2
25,135000,alquiler,5,educacion,B,25000,11.36,0,0.19,N,4
26,135660,alquiler,10,consolidar_deudas,B,25000,12.53,0,0.18,N,4
25,145000,alquiler,0,educacion,B,25000,9.99,0,0.17,N,4
23,150000,alquiler,4,educacion,B,25000,10.36,0,0.17,N,3
23,165000,hipoteca,3,educacion,A,9600,5.99,0,0.06,N,3
22,153000,hipoteca,5,consolidar_deudas,D,24000,15.62,1,0.16,Y,2
24,165000,hipoteca,5,personal,B,20000,10.37,0,0.12,N,4
25,165000,hipoteca,0,mejora_hogar,F,25000,19.74,0,0.15,N,4
21,165000,hipoteca,5,educacion,A,20000,6.91,0,0.12,N,4
23,16000,propia,7,medico,A,6000,7.9,1,0.38,N,2
23,16000,hipoteca,3,consolidar_deudas,C,2275,13.06,0,0.14,Y,4
23,16000,propia,7,personal,A,2000,6.39,0,0.13,N,3
23,148000,alquiler,1,consolidar_deudas,E,25000,14.93,1,0.17,N,3
23,16000,hipoteca,1,medico,C,5600,12.84,1,0.35,N,4
24,16020,propia,3,emprendimiento,E,3625,17.14,1,0.23,Y,2
22,16094,hipoteca,2,emprendimiento,A,5500,7.14,1,0.34,N,3
25,175000,alquiler,2,personal,A,25000,8.9,0,0.14,N,2
22,16200,propia,6,personal,B,2000,12.42,0,0.12,N,3
24,185000,alquiler,7,mejora_hogar,C,25000,12.68,0,0.14,Y,2
25,162000,alquiler,9,personal,C,25000,11.03,0,0.15,N,2
26,161000,alquiler,10,emprendimiento,A,30000,7.9,0,0.19,N,4
22,160000,hipoteca,0,medico,B,35000,10.65,0,0.22,N,4
25,225000,alquiler,5,emprendimiento,B,25000,11.86,0,0.11,N,4
25,16400,propia,1,personal,A,5000,8.94,1,0.3,N,4
23,16500,propia,6,emprendimiento,B,4375,9.63,1,0.27,N,4
25,49500,alquiler,6,personal,C,24750,14.22,1,0.5,N,3
23,60000,alquiler,4,consolidar_deudas,B,24750,9.33,1,0.41,N,3
24,84200,alquiler,8,medico,C,24500,13.85,0,0.29,N,4
22,16800,hipoteca,5,educacion,B,2000,10.65,0,0.12,N,2
24,92000,alquiler,8,medico,B,24500,11.46,0,0.27,N,4
23,160000,hipoteca,5,personal,A,35000,7.66,0,0.22,N,2
24,160000,hipoteca,9,emprendimiento,E,12000,16.77,0,0.07,N,4
25,160000,hipoteca,1,personal,B,12000,9.63,0,0.07,N,4
26,160000,alquiler,6,personal,C,25000,12.23,0,0.16,Y,4
25,125800,hipoteca,0,medico,D,10000,14.09,1,0.07,N,4
25,54000,alquiler,2,personal,C,24250,13.98,1,0.45,N,4
23,62500,alquiler,1,educacion,B,24250,10.62,1,0.39,N,4
24,16800,hipoteca,,consolidar_deudas,A,3900,,1,0.23,N,3
